day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,rolling_slope_80,window_return_80,slope_tstat_80,uptrend_signal
-2,2400,ASH_COATED_OSMIUM,9992.0,30.0,,,,,10011.0,13.0,10013.0,30.0,,,10001.5,0.0,,,,False
-2,2500,ASH_COATED_OSMIUM,9992.0,21.0,,,,,10011.0,14.0,,,,,10001.5,0.0,,,,False
-2,2600,ASH_COATED_OSMIUM,9995.0,15.0,9992.0,21.0,,,10011.0,15.0,,,,,10003.0,0.0,,,,False
-2,2700,ASH_COATED_OSMIUM,9995.0,15.0,9992.0,26.0,,,10013.0,26.0,,,,,10004.0,0.0,,,,False
-2,2800,ASH_COATED_OSMIUM,9995.0,13.0,,,,,10011.0,13.0,10013.0,28.0,,,10003.0,0.0,,,,False
-2,2900,ASH_COATED_OSMIUM,9995.0,15.0,9993.0,30.0,,,10011.0,15.0,10014.0,30.0,,,10003.0,0.0,,,,False
-2,3000,ASH_COATED_OSMIUM,9993.0,26.0,,,,,10011.0,12.0,10014.0,26.0,,,10002.0,0.0,,,,False
-2,3100,ASH_COATED_OSMIUM,9996.0,12.0,,,,,10012.0,12.0,10014.0,23.0,,,10004.0,0.0,,,,False
-2,3200,ASH_COATED_OSMIUM,9996.0,11.0,9993.0,26.0,,,10014.0,26.0,,,,,10005.0,0.0,,,,False
-2,3300,ASH_COATED_OSMIUM,9996.0,15.0,9993.0,20.0,,,10012.0,15.0,10014.0,20.0,,,10004.0,0.0,,,,False
-2,3400,ASH_COATED_OSMIUM,9996.0,10.0,9993.0,22.0,,,10012.0,10.0,,,,,10004.0,0.0,,,,False
-2,3500,ASH_COATED_OSMIUM,9993.0,29.0,,,,,10012.0,10.0,10014.0,29.0,,,10002.5,0.0,,,,False
-2,3600,ASH_COATED_OSMIUM,9996.0,10.0,9993.0,26.0,,,10012.0,10.0,,,,,10004.0,0.0,,,,False
-2,3700,ASH_COATED_OSMIUM,9993.0,25.0,,,,,10011.0,11.0,,,,,10002.0,0.0,,,,False
-2,3800,ASH_COATED_OSMIUM,9995.0,11.0,9993.0,27.0,,,10011.0,11.0,10014.0,27.0,,,10003.0,0.0,,,,False
-2,3900,ASH_COATED_OSMIUM,9995.0,14.0,9993.0,25.0,,,10011.0,14.0,10014.0,25.0,,,10003.0,0.0,,,,False
-2,4000,ASH_COATED_OSMIUM,9996.0,10.0,9994.0,27.0,,,10012.0,10.0,10015.0,27.0,,,10004.0,0.0,,,,False
-2,4100,ASH_COATED_OSMIUM,9994.0,28.0,,,,,10013.0,12.0,,,,,10003.5,0.0,,,,False
-2,4200,ASH_COATED_OSMIUM,9994.0,23.0,,,,,10015.0,23.0,,,,,10004.5,0.0,,,,False
-2,4300,ASH_COATED_OSMIUM,9997.0,13.0,9994.0,26.0,,,10015.0,26.0,,,,,10006.0,0.0,,,,False
-2,4400,ASH_COATED_OSMIUM,9997.0,11.0,9994.0,28.0,,,10015.0,28.0,,,,,10006.0,0.0,,,,False
-2,4500,ASH_COATED_OSMIUM,9997.0,12.0,9994.0,29.0,,,10013.0,12.0,10015.0,29.0,,,10005.0,0.0,,,,False
-2,4600,ASH_COATED_OSMIUM,9997.0,11.0,9995.0,29.0,,,10016.0,29.0,,,,,10006.5,0.0,,,,False
-2,4800,ASH_COATED_OSMIUM,9995.0,24.0,,,,,10007.0,3.0,10013.0,14.0,10016.0,24.0,10001.0,0.0,,,,False
-2,4900,ASH_COATED_OSMIUM,9997.0,15.0,9995.0,22.0,,,10013.0,15.0,10016.0,22.0,,,10005.0,0.0,,,,False
-2,5000,ASH_COATED_OSMIUM,9997.0,15.0,9994.0,20.0,,,10013.0,15.0,10015.0,20.0,,,10005.0,0.0,,,,False
-2,5100,ASH_COATED_OSMIUM,9997.0,11.0,9994.0,29.0,,,10013.0,11.0,10015.0,29.0,,,10005.0,0.0,,,,False
-2,5200,ASH_COATED_OSMIUM,9994.0,25.0,,,,,10013.0,12.0,10015.0,25.0,,,10003.5,0.0,,,,False
-2,5300,ASH_COATED_OSMIUM,10002.0,4.0,9994.0,22.0,,,10012.0,15.0,10015.0,22.0,,,10007.0,0.0,,,,False
-2,5400,ASH_COATED_OSMIUM,9994.0,29.0,,,,,10013.0,15.0,,,,,10003.5,0.0,,,,False
-2,5500,ASH_COATED_OSMIUM,9996.0,13.0,9994.0,28.0,,,10012.0,13.0,10015.0,28.0,,,10004.0,0.0,,,,False
-2,5700,ASH_COATED_OSMIUM,9996.0,12.0,9993.0,29.0,,,10012.0,12.0,,,,,10004.0,0.0,,,,False
-2,5800,ASH_COATED_OSMIUM,10001.0,5.0,9996.0,15.0,9993.0,26.0,10012.0,15.0,10014.0,26.0,,,10006.5,0.0,,,,False
-2,5900,ASH_COATED_OSMIUM,9996.0,13.0,9994.0,28.0,,,10015.0,28.0,,,,,10005.5,0.0,,,,False
-2,6000,ASH_COATED_OSMIUM,9996.0,10.0,9994.0,21.0,,,10006.0,2.0,10012.0,10.0,10015.0,21.0,10001.0,0.0,,,,False
-2,6100,ASH_COATED_OSMIUM,9997.0,11.0,9994.0,26.0,,,10013.0,11.0,10015.0,26.0,,,10005.0,0.0,,,,False
-2,6200,ASH_COATED_OSMIUM,9997.0,12.0,9994.0,23.0,,,10013.0,12.0,10015.0,23.0,,,10005.0,0.0,,,,False
-2,6300,ASH_COATED_OSMIUM,9996.0,13.0,9993.0,26.0,,,10012.0,13.0,10014.0,26.0,,,10004.0,0.0,,,,False
-2,6400,ASH_COATED_OSMIUM,9996.0,13.0,9993.0,26.0,,,10012.0,13.0,10014.0,26.0,,,10004.0,0.0,,,,False
-2,6600,ASH_COATED_OSMIUM,9996.0,13.0,9993.0,23.0,,,10012.0,13.0,10014.0,23.0,,,10004.0,0.0,,,,False
-2,6700,ASH_COATED_OSMIUM,9996.0,14.0,9993.0,27.0,,,10012.0,14.0,10014.0,27.0,,,10004.0,0.0,,,,False
-2,6800,ASH_COATED_OSMIUM,9996.0,14.0,9993.0,23.0,,,10012.0,14.0,10014.0,23.0,,,10004.0,0.0,,,,False
-2,6900,ASH_COATED_OSMIUM,9995.0,13.0,9993.0,28.0,,,10014.0,28.0,,,,,10004.5,0.0,,,,False
-2,7000,ASH_COATED_OSMIUM,9995.0,14.0,9993.0,24.0,,,10011.0,14.0,,,,,10003.0,0.0,,,,False
-2,7100,ASH_COATED_OSMIUM,9995.0,11.0,9993.0,26.0,,,10011.0,11.0,,,,,10003.0,0.0,,,,False
-2,7200,ASH_COATED_OSMIUM,9993.0,26.0,,,,,10012.0,14.0,10014.0,26.0,,,10002.5,0.0,,,,False
-2,7300,ASH_COATED_OSMIUM,9996.0,11.0,9993.0,27.0,,,10012.0,11.0,10014.0,27.0,,,10004.0,0.0,,,,False
-2,7400,ASH_COATED_OSMIUM,9996.0,11.0,9994.0,28.0,,,10012.0,11.0,10015.0,28.0,,,10004.0,0.0,,,,False
-2,7500,ASH_COATED_OSMIUM,9997.0,10.0,,,,,10013.0,10.0,,,,,10005.0,0.0,,,,False
-2,7600,ASH_COATED_OSMIUM,9997.0,13.0,9994.0,28.0,,,10015.0,28.0,,,,,10006.0,0.0,,,,False
-2,7700,ASH_COATED_OSMIUM,9994.0,25.0,,,,,10013.0,13.0,10015.0,25.0,,,10003.5,0.0,,,,False
-2,7800,ASH_COATED_OSMIUM,10002.0,4.0,9996.0,14.0,9994.0,21.0,10015.0,21.0,,,,,10008.5,0.0,,,,False
-2,7900,ASH_COATED_OSMIUM,9996.0,13.0,,,,,10012.0,13.0,,,,,10004.0,0.0,,,,False
-2,8000,ASH_COATED_OSMIUM,10006.0,6.0,9994.0,23.0,,,10013.0,15.0,10015.0,23.0,,,10009.5,0.0,,,,False
-2,8100,ASH_COATED_OSMIUM,9997.0,15.0,9994.0,20.0,,,10013.0,15.0,,,,,10005.0,0.0,,,,False
-2,8200,ASH_COATED_OSMIUM,9994.0,30.0,,,,,10015.0,30.0,,,,,10004.5,0.0,,,,False
-2,8300,ASH_COATED_OSMIUM,9997.0,14.0,9994.0,27.0,,,10015.0,27.0,,,,,10006.0,0.0,,,,False
-2,8400,ASH_COATED_OSMIUM,9997.0,10.0,9994.0,25.0,,,10013.0,10.0,10015.0,25.0,,,10005.0,0.0,,,,False
-2,8500,ASH_COATED_OSMIUM,9997.0,12.0,9995.0,23.0,,,10013.0,12.0,10016.0,23.0,,,10005.0,0.0,0.06513127051101734,5.0,8.27736881113078,True
-2,8600,ASH_COATED_OSMIUM,9995.0,27.0,,,,,10013.0,13.0,10016.0,27.0,,,10004.0,0.0,0.06248241912798875,4.0,7.881273077041997,True
-2,8700,ASH_COATED_OSMIUM,9997.0,10.0,9995.0,22.0,,,10013.0,10.0,10016.0,22.0,,,10005.0,0.0,0.0606657290201594,5.0,7.654750234797821,True
-2,8800,ASH_COATED_OSMIUM,9997.0,13.0,9995.0,20.0,,,10013.0,13.0,,,,,10005.0,0.0,0.05873183309892171,5.0,7.418940994224132,True
-2,8900,ASH_COATED_OSMIUM,10003.0,2.0,9997.0,12.0,,,10013.0,12.0,10016.0,26.0,,,10008.0,0.0,0.059458509142053445,8.0,7.4654753748033915,True
-2,9000,ASH_COATED_OSMIUM,9998.0,10.0,9995.0,29.0,,,10014.0,10.0,10016.0,29.0,,,10006.0,0.0,0.05814580403187998,6.5,7.332233433198156,True
-2,9100,ASH_COATED_OSMIUM,9996.0,24.0,,,,,10017.0,24.0,,,,,10006.5,0.0,0.05668073136427567,6.0,7.212594143156732,False
-2,9200,ASH_COATED_OSMIUM,9998.0,10.0,9996.0,28.0,,,10014.0,10.0,,,,,10006.0,0.0,0.0555379746835443,4.0,7.088467462987697,False
-2,9300,ASH_COATED_OSMIUM,9998.0,11.0,9995.0,26.0,,,10014.0,11.0,10016.0,26.0,,,10006.0,0.0,0.05569034224097515,10.5,7.1091847431794895,False
-2,9400,ASH_COATED_OSMIUM,9996.0,25.0,,,,,10015.0,11.0,10017.0,25.0,,,10005.5,0.0,0.04911509610876699,6.0,7.007488090611278,False
-2,9500,ASH_COATED_OSMIUM,9999.0,12.0,9996.0,23.0,,,10015.0,12.0,10017.0,23.0,,,10007.0,0.0,0.047491795593061416,6.0,6.910233189278709,False
-2,9600,ASH_COATED_OSMIUM,9999.0,10.0,9997.0,29.0,,,10015.0,10.0,10018.0,29.0,,,10007.0,0.0,0.047116736990154715,4.5,6.875072145937793,False
-2,9700,ASH_COATED_OSMIUM,10000.0,13.0,9997.0,28.0,,,10016.0,13.0,10018.0,28.0,,,10008.0,0.0,0.04895100796999531,7.0,7.069766675565967,False
-2,9800,ASH_COATED_OSMIUM,10000.0,15.0,9997.0,23.0,,,10016.0,15.0,10018.0,23.0,,,10008.0,0.0,0.04923230192217534,6.0,7.089937880879992,False
-2,9900,ASH_COATED_OSMIUM,10000.0,14.0,9998.0,25.0,,,10016.0,14.0,10019.0,25.0,,,10008.0,0.0,0.05029887482419128,3.5,7.192249626883296,False
-2,10000,ASH_COATED_OSMIUM,9997.0,30.0,,,,,10016.0,11.0,10018.0,30.0,,,10006.5,0.0,0.05220932958274731,4.5,7.56555898763724,False
-2,10100,ASH_COATED_OSMIUM,10000.0,10.0,,,,,10016.0,10.0,10019.0,25.0,,,10008.0,0.0,0.05308837318330989,6.0,7.6525690445633,False
-2,10200,ASH_COATED_OSMIUM,10000.0,13.0,9998.0,29.0,,,10016.0,13.0,10019.0,29.0,,,10008.0,0.0,0.05382676980778247,7.5,7.726336296479877,False
-2,10300,ASH_COATED_OSMIUM,10001.0,13.0,9998.0,23.0,,,10017.0,13.0,10019.0,23.0,,,10009.0,0.0,0.05392639474917956,7.0,7.72998984037596,False
-2,10400,ASH_COATED_OSMIUM,10007.0,5.0,10001.0,10.0,,,10017.0,10.0,10020.0,22.0,,,10012.0,0.0,0.05802859821847164,10.0,7.759368555998668,True
-2,10500,ASH_COATED_OSMIUM,10002.0,10.0,9999.0,20.0,,,10018.0,10.0,10020.0,20.0,,,10010.0,0.0,0.06004453820909517,4.5,7.881129648256562,True
-2,10600,ASH_COATED_OSMIUM,10001.0,13.0,9999.0,29.0,,,10020.0,29.0,,,,,10010.5,0.0,0.0656586966713549,9.0,8.621774448520629,True
-2,10700,ASH_COATED_OSMIUM,9998.0,29.0,,,,,10016.0,14.0,10019.0,29.0,,,10007.0,0.0,0.06411744022503515,5.5,8.430489232083717,True
-2,10800,ASH_COATED_OSMIUM,10000.0,11.0,9998.0,22.0,,,10016.0,11.0,10019.0,22.0,,,10008.0,0.0,0.06337318330989217,5.0,8.35679648496516,True
-2,10900,ASH_COATED_OSMIUM,10001.0,15.0,9998.0,21.0,,,10019.0,21.0,,,,,10010.0,0.0,0.06575246132208158,6.0,8.566941719872368,True
-2,11000,ASH_COATED_OSMIUM,10001.0,13.0,9998.0,27.0,,,10017.0,13.0,10019.0,27.0,,,10009.0,0.0,0.06799109235818096,6.0,8.877543863548144,True
-2,11100,ASH_COATED_OSMIUM,10001.0,11.0,,,,,10017.0,11.0,10019.0,29.0,,,10009.0,0.0,0.06916315049226442,6.0,9.015756429506261,True
-2,11200,ASH_COATED_OSMIUM,10001.0,10.0,9998.0,20.0,,,10017.0,10.0,10019.0,20.0,,,10009.0,0.0,0.07019456165025785,7.0,9.139285255977004,True
-2,11300,ASH_COATED_OSMIUM,10000.0,12.0,9998.0,21.0,,,10016.0,12.0,10019.0,21.0,,,10008.0,0.0,0.06921003281762775,4.0,9.021332149480175,True
-2,11400,ASH_COATED_OSMIUM,10000.0,12.0,9998.0,30.0,,,10016.0,12.0,10019.0,30.0,,,10008.0,0.0,0.06998359118612284,3.0,9.152435402578487,True
-2,11500,ASH_COATED_OSMIUM,10001.0,13.0,9998.0,24.0,,,10019.0,24.0,,,,,10010.0,0.0,0.07346460384435068,6.0,9.676048990616133,True
-2,11600,ASH_COATED_OSMIUM,10006.0,5.0,,,,,10017.0,12.0,10019.0,30.0,,,10011.5,0.0,0.07726793248945148,7.5,10.02232840366321,True
-2,11800,ASH_COATED_OSMIUM,10000.0,10.0,9998.0,29.0,,,10016.0,10.0,10019.0,29.0,,,10008.0,0.0,0.07765471167369901,5.5,10.095652939499658,True
-2,11900,ASH_COATED_OSMIUM,10000.0,14.0,9998.0,22.0,,,10016.0,14.0,10019.0,22.0,,,10008.0,0.0,0.07652367557430849,4.0,9.928339494803303,True
-2,12000,ASH_COATED_OSMIUM,9997.0,28.0,,,,,10016.0,13.0,10018.0,28.0,,,10006.5,0.0,0.07529887482419129,4.5,9.656106613446127,True
-2,12100,ASH_COATED_OSMIUM,9998.0,21.0,,,,,10019.0,21.0,,,,,10008.5,0.0,0.07396858884200656,5.5,9.503165365493578,True
-2,12200,ASH_COATED_OSMIUM,10000.0,13.0,,,,,10016.0,13.0,10019.0,23.0,,,10008.0,0.0,0.07297233942803563,5.0,9.353563458755875,True
-2,12300,ASH_COATED_OSMIUM,10000.0,11.0,,,,,10016.0,11.0,,,,,10008.0,0.0,0.07185888420065635,4.0,9.189494929004036,True
-2,12400,ASH_COATED_OSMIUM,10006.0,2.0,10000.0,15.0,9998.0,25.0,10016.0,15.0,10019.0,25.0,,,10011.0,0.0,0.0743553680262541,7.5,9.437915669476093,True
-2,12500,ASH_COATED_OSMIUM,10000.0,13.0,9998.0,28.0,,,10019.0,28.0,,,,,10009.5,0.0,0.07482419127988749,5.0,9.497046075845187,True
-2,12600,ASH_COATED_OSMIUM,10000.0,15.0,,,,,10019.0,26.0,,,,,10009.5,0.0,0.07610173464603845,3.5,9.692406933180838,True
-2,12700,ASH_COATED_OSMIUM,10000.0,13.0,9998.0,22.0,,,10016.0,13.0,10019.0,22.0,,,10008.0,0.0,0.07729723394280356,2.0,9.973696817766275,False
-2,12800,ASH_COATED_OSMIUM,10001.0,14.0,9998.0,20.0,,,10017.0,14.0,10019.0,20.0,,,10009.0,0.0,0.07937177684013128,4.0,10.431736539289336,True
-2,13000,ASH_COATED_OSMIUM,10001.0,15.0,9998.0,30.0,,,10017.0,15.0,10019.0,30.0,,,10009.0,0.0,0.08042662916080638,2.5,10.644986295239795,False
-2,13100,ASH_COATED_OSMIUM,10006.0,2.0,,,,,10017.0,10.0,10019.0,21.0,,,10011.5,0.0,0.08512658227848101,10.5,11.516239203866512,True
-2,13200,ASH_COATED_OSMIUM,10000.0,12.0,9998.0,22.0,,,10016.0,12.0,10019.0,22.0,,,10008.0,0.0,0.08124706985466479,3.0,11.034814481211946,True
-2,13300,ASH_COATED_OSMIUM,10001.0,11.0,9998.0,27.0,,,10017.0,11.0,10019.0,27.0,,,10009.0,0.0,0.08192686357243319,4.0,11.184082039844938,True
-2,13400,ASH_COATED_OSMIUM,10000.0,15.0,9998.0,27.0,,,10016.0,15.0,10019.0,27.0,,,10008.0,0.0,0.081586966713549,3.0,11.097867049969006,True
-2,13500,ASH_COATED_OSMIUM,10001.0,14.0,9998.0,27.0,,,10017.0,14.0,,,,,10009.0,0.0,0.08210267229254571,5.5,11.211778833789321,True
-2,13600,ASH_COATED_OSMIUM,10001.0,13.0,9999.0,24.0,,,10017.0,13.0,10020.0,24.0,,,10009.0,0.0,0.08110056258790437,2.0,11.040989428014328,False
-2,13700,ASH_COATED_OSMIUM,10001.0,14.0,9998.0,20.0,,,10017.0,14.0,10019.0,20.0,,,10009.0,0.0,0.08329231129864041,5.5,11.693026573942694,True
-2,13800,ASH_COATED_OSMIUM,9998.0,22.0,,,,,10017.0,13.0,10019.0,22.0,,,10007.5,0.0,0.08072550398499766,3.5,11.104506327752967,True
-2,13900,ASH_COATED_OSMIUM,10001.0,14.0,9999.0,20.0,,,10017.0,14.0,10020.0,20.0,,,10009.0,0.0,0.07992850445382091,5.0,10.957169456771775,True
-2,14000,ASH_COATED_OSMIUM,10001.0,14.0,9999.0,25.0,,,10017.0,14.0,,,,,10009.0,0.0,0.07901429910923582,2.5,10.791577923404372,False
-2,14100,ASH_COATED_OSMIUM,10002.0,12.0,9999.0,25.0,,,10020.0,25.0,,,,,10011.0,0.0,0.08220815752461322,5.5,11.442721733899717,True
-2,14200,ASH_COATED_OSMIUM,10001.0,10.0,9999.0,23.0,,,10017.0,10.0,,,,,10009.0,0.0,0.08249531176746366,8.0,11.514437989429222,True
-2,14300,ASH_COATED_OSMIUM,10001.0,14.0,9999.0,23.0,,,10017.0,14.0,,,,,10009.0,0.0,0.07842827004219409,4.0,11.17072368151856,True
-2,14400,ASH_COATED_OSMIUM,10001.0,14.0,,,,,10017.0,14.0,,,,,10009.0,0.0,0.07797116736990155,4.0,11.068571013853102,True
-2,14600,ASH_COATED_OSMIUM,10001.0,15.0,9998.0,20.0,,,10019.0,20.0,,,,,10010.0,0.0,0.07834622597280826,6.0,11.13872707145373,True
-2,14800,ASH_COATED_OSMIUM,10000.0,13.0,9997.0,28.0,,,10016.0,13.0,10018.0,28.0,,,10008.0,0.0,0.07580285982184716,4.0,10.589812905108518,True
-2,14900,ASH_COATED_OSMIUM,9997.0,29.0,,,,,10016.0,10.0,,,,,10006.5,0.0,0.07177684013127052,2.5,9.623451400084878,False
-2,15000,ASH_COATED_OSMIUM,10000.0,10.0,,,,,10016.0,10.0,10018.0,21.0,,,10008.0,0.0,0.06908110642287857,4.0,9.14666217022999,True
-2,15100,ASH_COATED_OSMIUM,10000.0,15.0,9997.0,29.0,,,10016.0,15.0,10018.0,29.0,,,10008.0,0.0,0.06629160806375996,4.0,8.681580856847782,True
-2,15200,ASH_COATED_OSMIUM,9999.0,11.0,9997.0,28.0,,,10015.0,11.0,10018.0,28.0,,,10007.0,0.0,0.06248241912798875,2.5,8.004455571962025,False
-2,15300,ASH_COATED_OSMIUM,9996.0,26.0,,,,,10015.0,10.0,10017.0,26.0,,,10005.5,0.0,0.05768870135958744,2.5,7.059293060693465,False
-2,15400,ASH_COATED_OSMIUM,9999.0,13.0,9997.0,22.0,,,10015.0,13.0,10018.0,22.0,,,10007.0,0.0,0.05283638068448195,4.0,6.43405662963567,False
-2,15500,ASH_COATED_OSMIUM,9999.0,14.0,9996.0,24.0,,,10015.0,14.0,10017.0,24.0,,,10007.0,0.0,0.04789029535864979,4.5,5.82976445456683,False
-2,15600,ASH_COATED_OSMIUM,9998.0,15.0,9996.0,25.0,,,10014.0,15.0,,,,,10006.0,0.0,0.04144983591186123,2.0,5.040085962619491,False
-2,15700,ASH_COATED_OSMIUM,9998.0,11.0,9996.0,29.0,,,10014.0,11.0,10017.0,29.0,,,10006.0,0.0,0.036351383028598215,2.0,4.36193031542948,False
-2,15800,ASH_COATED_OSMIUM,9998.0,10.0,,,,,10014.0,10.0,10017.0,20.0,,,10006.0,0.0,0.031206047819971872,1.0,3.7136864906886804,False
-2,15900,ASH_COATED_OSMIUM,9995.0,25.0,,,,,10014.0,12.0,10016.0,25.0,,,10004.5,0.0,0.02557430848570089,-1.5,2.941085591199194,False
-2,16000,ASH_COATED_OSMIUM,9999.0,10.0,9996.0,21.0,,,10017.0,21.0,,,,,10008.0,0.0,0.024144397562119082,4.5,2.776738279996415,False
-2,16100,ASH_COATED_OSMIUM,9998.0,14.0,,,,,10014.0,14.0,10017.0,25.0,,,10006.0,0.0,0.018442334739803095,-2.5,2.1416878031556257,False
-2,16200,ASH_COATED_OSMIUM,9998.0,12.0,,,,,10014.0,12.0,10017.0,29.0,,,10006.0,0.0,0.01742850445382091,2.0,2.00672559311803,False
-2,16300,ASH_COATED_OSMIUM,9998.0,13.0,9996.0,30.0,,,10014.0,13.0,10017.0,30.0,,,10006.0,0.0,0.01220112517580872,-3.5,1.4177308916410845,False
-2,16400,ASH_COATED_OSMIUM,9996.0,27.0,,,,,10014.0,12.0,10017.0,27.0,,,10005.0,0.0,0.01122245663384904,0.0,1.2892539234546738,False
-2,16500,ASH_COATED_OSMIUM,9998.0,12.0,9996.0,26.0,,,10014.0,12.0,10017.0,26.0,,,10006.0,0.0,0.007003047351148617,1.5,0.8064740149987197,False
-2,16600,ASH_COATED_OSMIUM,9996.0,23.0,,,,,10017.0,23.0,,,,,10006.5,0.0,0.0027484763244256913,0.5,0.32122654555253743,False
-2,16700,ASH_COATED_OSMIUM,9999.0,13.0,9996.0,24.0,,,10015.0,13.0,10017.0,24.0,,,10007.0,0.0,0.0003340365682137834,2.0,0.03922249198916196,False
-2,16800,ASH_COATED_OSMIUM,9999.0,11.0,,,,,10015.0,11.0,10017.0,21.0,,,10007.0,0.0,-0.0030532114392873887,2.0,-0.36430302058658043,False
-2,16900,ASH_COATED_OSMIUM,9996.0,25.0,,,,,10015.0,12.0,10017.0,25.0,,,10005.5,0.0,-0.007876230661040788,1.5,-0.9496200038781575,False
-2,17000,ASH_COATED_OSMIUM,9996.0,27.0,,,,,10014.0,10.0,10017.0,27.0,,,10005.0,0.0,-0.014123300515705579,0.0,-1.7514073329419924,False
-2,17100,ASH_COATED_OSMIUM,9998.0,14.0,,,,,10014.0,14.0,10017.0,25.0,,,10006.0,0.0,-0.018518518518518517,1.0,-2.3560456877553655,False
-2,17200,ASH_COATED_OSMIUM,9998.0,14.0,9996.0,30.0,,,10017.0,30.0,,,,,10007.5,0.0,-0.02154828879512424,-0.5,-2.8344284833647477,False
-2,17300,ASH_COATED_OSMIUM,9998.0,12.0,9996.0,24.0,,,10017.0,24.0,,,,,10007.5,0.0,-0.021788560712611347,1.5,-2.868391625571635,False
-2,17400,ASH_COATED_OSMIUM,9998.0,10.0,9995.0,26.0,,,10014.0,10.0,10017.0,26.0,,,10006.0,0.0,-0.0253047351148617,-0.5,-3.3943114003353254,False
-2,17500,ASH_COATED_OSMIUM,9998.0,11.0,,,,,10014.0,11.0,10016.0,21.0,,,10006.0,0.0,-0.02834622597280825,0.0,-3.858396161371419,False
-2,17700,ASH_COATED_OSMIUM,9998.0,10.0,9996.0,26.0,,,10017.0,26.0,,,,,10007.5,0.0,-0.03046179090482888,1.5,-4.250490749738409,False
-2,17800,ASH_COATED_OSMIUM,9998.0,13.0,9996.0,29.0,,,10014.0,13.0,10017.0,29.0,,,10006.0,0.0,-0.0340014064697609,0.5,-4.885562584011076,False
-2,18000,ASH_COATED_OSMIUM,9998.0,12.0,9996.0,29.0,,,10014.0,12.0,10017.0,29.0,,,10006.0,0.0,-0.038015705578996715,-1.0,-5.725498010013457,False
-2,18200,ASH_COATED_OSMIUM,9999.0,15.0,9996.0,28.0,,,10015.0,15.0,,,,,10007.0,0.0,-0.03969174871073605,0.0,-6.094452783001531,False
